,NBMACT_WAX,NBMCON_NBMACT,NBMCON_NBMFUS,NBMCON_WAX,NBMFUS_NBMACT,NBMFUS_WAX,NBMMIN_NBMACT,NBMMIN_NBMCON,NBMMIN_NBMFUS,NBMMIN_WAX
bg5t.wam,1.2306,2.3158,1.4301,1.4259,1.2538,2.0754,1.7192,1.1365,1.4066,1.652
bulwu.wam,0.0375,0.0,0.0,0.0,0.0,0.0374,0.0,0.0,0.0,0.098
byxxo.wam,1.4951,1.423,1.9054,1.4834,1.9572,1.6539,2.9206,1.3856,1.5818,1.3822
chfaa.c.wam,2.9489,1.8293,1.8372,1.8309,2.0623,2.9247,2.1353,2.1365,3.6587,2.925
cidba.wam,0.5367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cnbws.wam,0.105,0.0,0.0,0.2611,0.0,0.1479,0.0,0.0,0.0,0.5099
cryptokisiel,0.3233,0.0,0.0,0.3926,0.0,0.2046,0.0,0.0,0.0,0.2565
djmhc.wam,0.2112,0.0,0.0,0.2092,0.0,0.0627,0.0,0.0,0.0,0.3354
dkid2.wam,0.0152,0.0,0.0,0.0154,0.0027,0.0187,0.0,0.0,0.0,0.0149
e3.f4.wam,0.0985,0.0,0.0,0.2743,0.0,0.1159,0.0,0.0,0.0,0.4029
enrb4.wam,0.0172,0.0,0.0,0.0221,0.0,0.0,0.0001,0.0,0.0,0.0
f.kre.wam,0.0315,0.0,0.0,0.0213,0.0,0.049,0.0,0.0,0.0,0.0554
f3ira.wam,0.0852,0.0833,0.0169,0.2848,1.5146,0.2285,0.0,0.0062,0.026,0.0
fk5b2.wam,0.0383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fxp2w.c.wam,0.0516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goodjobomm12,0.0301,0.0,0.0,0.0078,0.0,0.1004,0.0,0.0,0.0,0.0513
goyrc.wam,1.3659,0.0,0.0,0.0,0.7496,1.9867,0.4267,0.0,2.502,1.834
h2rbi.wam,6.2791,2.8086,3.0921,3.6003,7.0785,4.6784,2.8698,2.8205,10.2938,5.7103
h4tb.wam,4.0958,1.7932,2.0199,2.0381,0.9624,2.4481,2.0034,0.8977,1.9573,5.5262
hcnxe.wam,0.0051,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0522
hmiha.wam,0.14,0.0,0.0,0.0,0.0,0.1281,0.0,0.0,0.0,0.3058
hpy.y.c.wam,0.0566,0.0,0.0,0.127,0.0,0.0985,0.0,0.0,0.0,0.0749
iapqw.wam,0.0133,0.0,0.0,0.0088,0.0,0.0,0.0,0.0,0.0,0.0
izngs.wam,1.2366,0.3388,0.0609,1.2856,0.0201,1.1391,0.2917,1.0426,1.2251,2.0842
jgyra.wam,0.1767,0.0,0.0,0.2219,0.0594,0.4484,0.0,0.0,0.0949,0.2383
juicymeloon3,1.2863,1.4414,0.4284,1.4313,0.8188,1.421,0.3418,0.5206,1.3659,1.5777
jz12q.c.wam,1.2716,0.0,0.0,1.0218,0.0,1.917,0.0,0.0,0.0,1.5158
k.pqy.wam,1.5601,0.0,0.0,1.245,0.0,2.2206,0.0,0.0,0.0,1.7858
k1kaw.wam,0.729,0.7322,0.9904,0.8753,0.7213,0.6839,0.8355,0.7163,0.7111,0.6712
kbcrc.wam,0.021,3.3885,0.1506,0.6557,0.0,0.0214,0.3331,0.0255,1.799,0.0431
kijbk.wam,0.0182,0.0,0.0,0.0328,0.0,0.0113,0.0,0.0,0.0,0.1292
knifs.wam,0.0194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0275
krakenslappu,1.3925,1.2999,1.1952,1.5871,1.3782,2.7961,1.3633,1.1744,1.9848,1.7992
ldlr4.wam,0.2928,0.0,0.0,1.3728,0.0,0.3134,0.0,0.0,0.0,0.1678
m2txc.wam,1.1295,1.5693,1.585,1.4275,1.2194,1.1031,1.7037,1.4847,1.4613,1.4658
mango1anchor,2.1806,1.2366,0.8327,2.1208,1.1355,2.0524,0.3337,1.2863,2.1167,2.7266
megrowax4212,0.0051,0.0,0.0,0.0116,0.0,0.0048,0.0,0.0,0.0,0.0
merqy.wam,1.6233,1.6726,1.8487,1.2928,1.7056,1.189,1.6099,1.2311,1.4099,1.9284
mfacc5432111,1.6663,3.0765,2.2006,2.7331,1.3429,3.9809,2.2439,2.9027,2.1632,2.5497
mijdw.wam,0.0271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062
n5f4u.c.wam,1.1446,1.1146,1.554,1.0345,1.173,1.0994,1.4205,1.1928,1.0229,1.324
neyau.wam,7.1131,0.0,0.0,1.7404,0.0,4.6991,0.0,0.0,0.0,3.9088
nrqk2.c.wam,1.1464,0.5816,0.7526,0.5931,1.1727,1.7851,0.1324,2.0008,1.437,0.0029
o1lra.wam,0.0051,0.0,0.0,0.0,0.0089,0.0115,0.0,0.0,0.0,0.0797
o3rcy.wam,0.047,0.0,0.0,0.0019,0.0,0.0349,0.0,0.0,0.0,0.0877
owfqy.wam,1.2841,1.5396,1.4122,1.0452,1.4477,1.1336,1.3999,1.424,2.7582,1.491
owlaq.wam,0.1199,0.0,0.0,0.3456,0.0,0.1217,0.0,0.0,0.0,0.2606
p34r.wam,0.2951,0.0147,0.0166,0.3469,0.1797,0.1528,0.1593,0.0038,0.0658,0.0821
pdzmitryblr1,3.212,2.1484,2.0361,7.1275,2.0273,2.8899,1.6952,1.6551,1.9102,3.2438
pfbqw.wam,2.7581,1.1402,1.4057,0.9667,1.3032,1.1995,1.6007,1.17,1.3338,1.3349
pgibw.wam,0.0101,0.0,0.0,0.0029,0.0,0.0053,0.0,0.0,0.0,0.0
prvipisonja1,0.0137,0.0,0.0,0.0585,0.0,0.0293,0.0,0.0,0.0,0.0399
pyprg.wam,0.1961,0.1294,0.096,0.2698,0.2615,0.2447,0.0789,0.1248,0.3913,0.2602
qhiay.wam,0.0637,0.0,0.0,0.0536,0.0,0.1123,0.0,0.0,0.0,0.0748
qm3r2.wam,1.2458,0.6971,0.9234,1.0494,0.704,1.7613,0.2575,0.8578,1.4071,1.426
rde12.c.wam,1.198,1.5122,1.5532,1.2205,1.3443,1.4042,1.4693,1.0377,1.4559,1.6276
rhcqu.wam,0.0677,0.0,0.0291,0.0789,0.0264,0.1083,0.0119,0.0427,0.0503,0.1881
rjvbg.wam,8.6904,4.5104,4.3336,2.5017,30.5595,2.2477,48.565,4.4248,14.5731,3.2547
rlvfw.wam,0.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rm2.k.wam,0.0616,0.0029,0.0072,0.0944,0.0029,0.0609,0.0013,0.0055,0.0018,0.0815
ss4uk.wam,0.1255,0.0152,0.0384,0.0648,0.0137,0.1389,0.006,0.0294,0.0199,0.1022
sxyqy.wam,0.0074,0.0054,0.0071,0.0,0.0,0.0,0.0,0.0,0.0303,0.0515
szkg2.wam,1.237,0.0,0.0,1.0545,0.1501,1.4484,0.1512,0.0,0.1672,1.6198
tevhtftdbnde,0.4918,0.0181,0.0127,0.3077,0.0,0.3603,0.0005,0.0155,0.0205,0.5727
thefoxslayer,1.6094,1.7144,1.5466,1.405,1.5251,1.7954,1.4089,1.1966,1.8479,2.1268
thimotheem23,0.0183,0.0,0.0,0.0,0.0,0.0624,0.0,0.0,0.0,0.0
tommyswallet,0.0458,0.0,0.0,0.0764,0.0,0.043,0.0,0.0,0.0,0.0597
u1.xi.wam,5.5348,0.0,0.0,0.0,0.0,2.4796,0.0,0.0,0.0,0.0972
vacationless,0.264,0.3648,0.0,0.0,0.0,0.1605,0.0,0.0,0.0,0.0684
vbvb2.wam,0.1219,0.0,0.0,0.2481,0.0,0.1103,0.0,0.0,0.0,0.1992
vfvek.wam,0.0099,0.0,0.0,0.0116,0.0,0.0048,0.0,0.0,0.0,0.0116
